Model,Train_Score,Test_Score,RMSE,Cross_val_score
Linear Regression,0.8718526381954379,0.8505448531603362,0.12722079456040922,0.8659807851476314
Lasso Regression,0.0,-0.0016801278006557396,0.32935722497816894,-0.010759962351143626
Ridge Regression,0.8718279747129485,0.8504686093943225,0.12725324093625642,0.8660180081520117
KNeighbors Regression,0.79952238455811,0.7157859600269896,0.17543871182501242,0.7345015961619596
Decision Tree,0.9250123131588351,0.885317857991291,0.1114424275766011,0.8842405531390615
Random Forest,0.9460753819972901,0.8964067923837192,0.10591764259972958,0.9071574299761664
AdaBoost,0.7459965885306759,0.7100326516639006,0.1772055070421041,0.7510385905549539
GradientBoost,0.9352569956105785,0.9106262891626428,0.09838016827366507,0.9183211067823234
Xgboost,0.9342706074434559,0.9097500108188954,0.09886128363073828,0.9189691495086375
